ID,Lon,Lat
14,204453.885,451187.087
48,212104.569,445047.08
28,211841.249,446295.274
94,191936.7,442949.674
2,191903.248,453603.027
9,203105.461,452510.662
15,204232.693,451519.05
16,209454.222,447193.381
60,206713.927,453568.318
62,206458.451,454959.356
66,203353.707,450241.257
69,206167.925,450792.753
71,203681.048,450392.285
76,205938.703,458221.85
63,206697.273,451820.928
88,205321.344,460144.641
90,203506.208,455077.584
19,209565.533,447185.003
33,206237.007,451202.86
5,200094.121,452262.985
6,200215.531,452242.268
13,204266.734,451669.849
17,209494.427,447185.781
24,211786.597,446309.164
27,211922.042,446024.314
44,210360.449,447184.671
54,212536.013,444475.487
55,212527.223,444454.811
59,206824.747,453230.746
64,207424.02,448529.632
73,203323.36,448891.043
77,205345.268,461348.678
80,206580.459,454890.203
81,207885.195,457880.611
83,208162.055,458202.844
39,206318.144,454191.475
42,209165.402,447190.239
46,212671,444442.124
65,203173.919,450115.702
92,192421.302,443218.36
3,210785.741,441981.656
11,203907.921,452275.198
18,209526.697,447180.717
68,202790.249,449717.057
74,202841.432,449764.842
20,209757.278,447185.658
85,205787.476,460897.75
86,205933.45,461316.095
91,201375.997,453974.294
96,193194.473,443039.482
97,194061.382,441959.36
1,204558.068,450855.872
12,204140.19,451977.909
56,212085.263,444865.568
4,200297,452283.413
7,200856.268,452259.111
8,202993.35,452366.965
10,203458.106,452522.363
58,206812.016,452712.493
36,206117.265,454970.603
40,206276.854,456649.361
70,205453.357,450413.465
72,204679.013,450485.501
75,205015.694,450166.786
78,191565.202,451581.075
87,205427.836,460571.478
25,211855.265,446139.505
26,211905.507,446017.313
29,211820.485,446276.922
30,211830.561,446252.188
31,211841.06,446225.474
32,203446.147,451860.174
35,204305.983,450638.363
43,210267.457,447118.287
49,212116.265,444722.408
50,212127.513,444824.647
57,206650.463,451932.421
23,211447.042,446523.856
41,209292.233,447116.554
51,212206.404,444672.512
52,212377.222,444567.108
67,203059.23,450001.8
82,208186.335,458187.048
79,191238.693,452170.606
84,207920.035,457992.992
22,211393.687,446694.36
37,206317.059,455680.449
93,190380.804,444601.213
95,192243.734,443085.621
89,203406.823,455693.821
34,206465.839,451458.489
38,206162.574,455374.442
45,212675.166,444427.234
47,212076.525,445061.66
53,212334.905,444566.749
61,206873.889,452733.522
21,211328.697,446870.265
